Chiplet_Reference_Designator,U100540
Manufacturing_Part_Number,BQ27426YZFT
Part_number,BQ27426
SMT_compatible,true
Width_x_min,1550
Width_x_typ,1580
Width_x_max,1610
Width_x_tol,
Length_y_min,1590
Length_y_typ,1620
Length_y_max,1651
Length_y_tol,
Thickness_z_min,
Thickness_z_typ,625
Thickness_z_max,625
Thickness_z_tol,
Orientation_angle_ccw,0
IO_pitch,500
IO_pitch_tol,15
IO_dia,300
IO_thickness_typ,250
IO_dia_tol,50
IO_thickness_min,
IO_thickness_max,
IO_thickness_tol,100
Count_IO,9
Count_unpop_io,0
Mold_Material,
Reflow_Profile,
Type,chiplet
Capacitance,
Resistance,
Package,
Package_Metric,